method,top_n,question_order,match_scores,evaluation_scores,binary_scores,combined_scores,normalized_binary_score,normalized_score,normalized_combined_score,job_number
original,15,"[37, 79, 177, 91, 180, 188, 145, 45, 99, 83, 194, 200, 193, 195, 186]","[0.5183163877046746, 0.4754388583688005, 0.4585327828649176, 0.4412840809009762, 0.41048755681963284, 0.38909932109910916, 0.38226590351513373, 0.45468839773704706, 0.428425500990301, 0.38598843922780113, 0.3687546833097456, 0.3062178541852799, 0.41879098288675215, 0.4177790071404999, 0.41380417821087495]","[4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 3, 4]","[1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0]","[6, 6, 4, 4, 4, 4, 5, 6, 4, 6, 4, 4, 4, 3, 4]",0.3333333333333333,0.9666666666666667,0.7555555555555555,2
reranked,15,"[37, 105, 83, 200, 82, 79, 91, 195, 94, 128, 129, 186, 188, 99, 145]","[-1.8348833, -5.1031055, -6.0013485, -9.618782, -10.881063, -11.153941, -7.2074885, -7.780712, -8.413347, -10.075546, -10.097296, -10.31894, -10.701546, -10.973159, -11.183994]","[4, 3, 4, 4, 4, 4, 4, 3, 4, 3, 3, 4, 4, 4, 3]","[1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]","[6, 3, 6, 4, 6, 6, 4, 3, 4, 3, 5, 4, 4, 4, 5]",0.4,0.9166666666666666,0.7444444444444445,2
original,20,"[37, 79, 177, 91, 180, 188, 145, 45, 99, 83, 194, 200, 193, 195, 186, 38, 178, 198, 92, 105]","[0.5183163877046746, 0.4754388583688005, 0.4585327828649176, 0.4412840809009762, 0.41048755681963284, 0.38909932109910916, 0.38226590351513373, 0.45468839773704706, 0.428425500990301, 0.38598843922780113, 0.3687546833097456, 0.3062178541852799, 0.41879098288675215, 0.4177790071404999, 0.41380417821087495, 0.40091241844339587, 0.3800457714920852, 0.37910455944265176, 0.379054043355922, 0.37634295361166015]","[4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 3, 3, 3]","[1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]","[6, 6, 4, 4, 4, 4, 5, 6, 4, 6, 4, 4, 4, 3, 4, 6, 6, 3, 3, 3]",0.35,0.9375,0.7416666666666667,2
reranked,20,"[37, 105, 83, 200, 82, 79, 91, 195, 94, 128, 129, 186, 188, 99, 145, 194, 92, 45, 38, 127]","[-1.8348833, -5.1031055, -6.0013485, -9.618782, -10.881063, -11.153941, -7.2074885, -7.780712, -8.413347, -10.075546, -10.097296, -10.31894, -10.701546, -10.973159, -11.183994, -9.22992, -9.339686, -9.719986, -9.968117, -10.2947445]","[4, 3, 4, 4, 4, 4, 4, 3, 4, 3, 3, 4, 4, 4, 3, 4, 3, 4, 4, 3]","[1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1]","[6, 3, 6, 4, 6, 6, 4, 3, 4, 3, 5, 4, 4, 4, 5, 4, 3, 6, 6, 5]",0.45,0.9125,0.7583333333333333,2
original,25,"[37, 79, 177, 91, 180, 188, 145, 45, 99, 83, 194, 200, 193, 195, 186, 38, 178, 198, 92, 105, 185, 82, 127, 71, 196]","[0.5183163877046746, 0.4754388583688005, 0.4585327828649176, 0.4412840809009762, 0.41048755681963284, 0.38909932109910916, 0.38226590351513373, 0.45468839773704706, 0.428425500990301, 0.38598843922780113, 0.3687546833097456, 0.3062178541852799, 0.41879098288675215, 0.4177790071404999, 0.41380417821087495, 0.40091241844339587, 0.3800457714920852, 0.37910455944265176, 0.379054043355922, 0.37634295361166015, 0.3760895219897039, 0.3632520667528174, 0.32966382065505023, 0.320495525140803, 0.32041303677157146]","[4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 3, 3, 3, 4, 4, 3, 4, 4]","[1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0]","[6, 6, 4, 4, 4, 4, 5, 6, 4, 6, 4, 4, 4, 3, 4, 6, 6, 3, 3, 3, 4, 6, 5, 6, 4]",0.4,0.94,0.76,2
reranked,25,"[37, 105, 83, 200, 82, 79, 91, 195, 94, 128, 129, 186, 188, 99, 145, 194, 92, 45, 38, 127, 71, 180, 124, 178, 125]","[-1.8348833, -5.1031055, -6.0013485, -9.618782, -10.881063, -11.153941, -7.2074885, -7.780712, -8.413347, -10.075546, -10.097296, -10.31894, -10.701546, -10.973159, -11.183994, -9.22992, -9.339686, -9.719986, -9.968117, -10.2947445, -10.380495, -10.383207, -10.462209, -10.615106, -10.661171]","[4, 3, 4, 4, 4, 4, 4, 3, 4, 3, 3, 4, 4, 4, 3, 4, 3, 4, 4, 3, 4, 4, 3, 4, 3]","[1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1]","[6, 3, 6, 4, 6, 6, 4, 3, 4, 3, 5, 4, 4, 4, 5, 4, 3, 6, 6, 5, 6, 4, 5, 6, 5]",0.52,0.91,0.78,2
original,10,"[83, 180, 82, 99, 79, 91, 200, 193, 45, 145]","[0.49368129052142545, 0.4868334884408555, 0.47319552414722726, 0.4435644742370175, 0.4125019406277532, 0.41016505997586494, 0.43357758755602593, 0.4083453505965037, 0.4023690839691263, 0.3645014090415701]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[0, 1, 0, 0, 1, 0, 0, 1, 1, 1]","[4, 6, 4, 4, 6, 4, 4, 6, 6, 6]",0.5,1.0,0.8333333333333334,3
reranked,10,"[37, 83, 76, 145, 195, 180, 128, 93, 92, 99]","[-5.949548, -6.0640645, -6.111809, -6.435424, -9.197418, -6.963451, -7.4060397, -7.437436, -8.311738, -9.372885]","[4, 4, 4, 4, 4, 4, 3, 4, 3, 4]","[1, 0, 1, 1, 0, 1, 0, 0, 0, 0]","[6, 4, 6, 6, 4, 6, 3, 4, 3, 4]",0.4,0.95,0.7666666666666667,3
original,15,"[83, 180, 82, 99, 79, 91, 200, 193, 45, 145, 195, 188, 186, 177, 93]","[0.49368129052142545, 0.4868334884408555, 0.47319552414722726, 0.4435644742370175, 0.4125019406277532, 0.41016505997586494, 0.43357758755602593, 0.4083453505965037, 0.4023690839691263, 0.3645014090415701, 0.3466329317760881, 0.42405054527291425, 0.4063348421409625, 0.40268778315020165, 0.3907429553534825]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0]","[4, 6, 4, 4, 6, 4, 4, 6, 6, 6, 4, 4, 4, 6, 4]",0.4,1.0,0.8,3
reranked,15,"[37, 83, 76, 145, 195, 180, 128, 93, 92, 99, 188, 199, 79, 82, 178]","[-5.949548, -6.0640645, -6.111809, -6.435424, -9.197418, -6.963451, -7.4060397, -7.437436, -8.311738, -9.372885, -10.253902, -10.467882, -10.834169, -8.044598, -8.940226]","[4, 4, 4, 4, 4, 4, 3, 4, 3, 4, 4, 4, 4, 4, 4]","[1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]","[6, 4, 6, 6, 4, 6, 3, 4, 3, 4, 4, 4, 6, 4, 6]",0.4,0.9666666666666667,0.7777777777777778,3
original,20,"[83, 180, 82, 99, 79, 91, 200, 193, 45, 145, 195, 188, 186, 177, 93, 71, 37, 198, 194, 105]","[0.49368129052142545, 0.4868334884408555, 0.47319552414722726, 0.4435644742370175, 0.4125019406277532, 0.41016505997586494, 0.43357758755602593, 0.4083453505965037, 0.4023690839691263, 0.3645014090415701, 0.3466329317760881, 0.42405054527291425, 0.4063348421409625, 0.40268778315020165, 0.3907429553534825, 0.38955361781104314, 0.38094017814938236, 0.37619733574937986, 0.36897558034157124, 0.3685603724241053]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1]","[4, 6, 4, 4, 6, 4, 4, 6, 6, 6, 4, 4, 4, 6, 4, 6, 6, 4, 4, 6]",0.45,1.0,0.8166666666666667,3
reranked,20,"[37, 83, 76, 145, 195, 180, 128, 93, 92, 99, 188, 199, 79, 82, 178, 45, 38, 71, 186, 177]","[-5.949548, -6.0640645, -6.111809, -6.435424, -9.197418, -6.963451, -7.4060397, -7.437436, -8.311738, -9.372885, -10.253902, -10.467882, -10.834169, -8.044598, -8.940226, -9.313639, -9.394558, -9.509122, -9.843127, -9.867154]","[4, 4, 4, 4, 4, 4, 3, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1]","[6, 4, 6, 6, 4, 6, 3, 4, 3, 4, 4, 4, 6, 4, 6, 6, 6, 6, 4, 6]",0.5,0.975,0.8166666666666667,3
original,25,"[83, 180, 82, 99, 79, 91, 200, 193, 45, 145, 195, 188, 186, 177, 93, 71, 37, 198, 194, 105, 92, 128, 125, 76, 102]","[0.49368129052142545, 0.4868334884408555, 0.47319552414722726, 0.4435644742370175, 0.4125019406277532, 0.41016505997586494, 0.43357758755602593, 0.4083453505965037, 0.4023690839691263, 0.3645014090415701, 0.3466329317760881, 0.42405054527291425, 0.4063348421409625, 0.40268778315020165, 0.3907429553534825, 0.38955361781104314, 0.38094017814938236, 0.37619733574937986, 0.36897558034157124, 0.3685603724241053, 0.3682334554712343, 0.36681455907125105, 0.35880416819593874, 0.35618535107610616, 0.34942354196271097]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 4, 4, 2]","[0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0]","[4, 6, 4, 4, 6, 4, 4, 6, 6, 6, 4, 4, 4, 6, 4, 6, 6, 4, 4, 6, 3, 3, 6, 6, 2]",0.44,0.96,0.7866666666666666,3
reranked,25,"[37, 83, 76, 145, 195, 180, 128, 93, 92, 99, 188, 199, 79, 82, 178, 45, 38, 71, 186, 177, 200, 91, 193, 125, 198]","[-5.949548, -6.0640645, -6.111809, -6.435424, -9.197418, -6.963451, -7.4060397, -7.437436, -8.311738, -9.372885, -10.253902, -10.467882, -10.834169, -8.044598, -8.940226, -9.313639, -9.394558, -9.509122, -9.843127, -9.867154, -9.970481, -10.006964, -10.127737, -10.291785, -10.61734]","[4, 4, 4, 4, 4, 4, 3, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0]","[6, 4, 6, 6, 4, 6, 3, 4, 3, 4, 4, 4, 6, 4, 6, 6, 6, 6, 4, 6, 4, 4, 6, 6, 4]",0.48,0.98,0.8133333333333334,3
original,10,"[83, 145, 180, 37, 79, 125, 91, 195, 200, 93]","[0.47428548626544464, 0.4584535658529546, 0.4258232301241801, 0.4187569152039404, 0.3303866514216318, 0.3672055372250556, 0.36338143158714065, 0.3608612866881453, 0.29290457024241046, 0.41628202260172287]","[4, 4, 4, 4, 4, 3, 3, 4, 4, 4]","[1, 1, 0, 1, 1, 1, 0, 0, 0, 0]","[6, 6, 4, 6, 6, 5, 3, 4, 4, 4]",0.5,0.95,0.8,4
reranked,10,"[37, 93, 90, 145, 92, 181, 79, 38, 83, 91]","[-4.67581, -4.683035, -6.651451, -7.5724125, -8.117492, -9.178158, -9.602998, -10.419394, -5.6001587, -9.382211]","[4, 4, 4, 4, 3, 4, 4, 4, 4, 3]","[1, 0, 1, 1, 0, 1, 1, 1, 1, 0]","[6, 4, 6, 6, 3, 6, 6, 6, 6, 3]",0.7,0.95,0.8666666666666667,4
original,15,"[83, 145, 180, 37, 79, 125, 91, 195, 200, 93, 99, 92, 82, 188, 193]","[0.47428548626544464, 0.4584535658529546, 0.4258232301241801, 0.4187569152039404, 0.3303866514216318, 0.3672055372250556, 0.36338143158714065, 0.3608612866881453, 0.29290457024241046, 0.41628202260172287, 0.3950766865081773, 0.38690782176277705, 0.37347463458510805, 0.3631861144398047, 0.359516586651658]","[4, 4, 4, 4, 4, 3, 3, 4, 4, 4, 3, 3, 4, 4, 4]","[1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0]","[6, 6, 4, 6, 6, 5, 3, 4, 4, 4, 3, 3, 6, 6, 4]",0.4666666666666667,0.9333333333333333,0.7777777777777778,4
reranked,15,"[37, 93, 90, 145, 92, 181, 79, 38, 83, 91, 195, 99, 80, 180, 125]","[-4.67581, -4.683035, -6.651451, -7.5724125, -8.117492, -9.178158, -9.602998, -10.419394, -5.6001587, -9.382211, -10.889037, -8.816297, -9.662644, -10.042103, -10.080715]","[4, 4, 4, 4, 3, 4, 4, 4, 4, 3, 4, 3, 4, 4, 3]","[1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1]","[6, 4, 6, 6, 3, 6, 6, 6, 6, 3, 4, 3, 6, 4, 5]",0.6,0.9333333333333333,0.8222222222222222,4
original,20,"[83, 145, 180, 37, 79, 125, 91, 195, 200, 93, 99, 92, 82, 188, 193, 181, 71, 38, 198, 186]","[0.47428548626544464, 0.4584535658529546, 0.4258232301241801, 0.4187569152039404, 0.3303866514216318, 0.3672055372250556, 0.36338143158714065, 0.3608612866881453, 0.29290457024241046, 0.41628202260172287, 0.3950766865081773, 0.38690782176277705, 0.37347463458510805, 0.3631861144398047, 0.359516586651658, 0.3582219316994143, 0.33384631412742133, 0.33043961772216923, 0.32887661888440356, 0.32626229252715344]","[4, 4, 4, 4, 4, 3, 3, 4, 4, 4, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4]","[1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0]","[6, 6, 4, 6, 6, 5, 3, 4, 4, 4, 3, 3, 6, 6, 4, 6, 6, 6, 6, 4]",0.55,0.95,0.8166666666666667,4
reranked,20,"[37, 93, 90, 145, 92, 181, 79, 38, 83, 91, 195, 99, 80, 180, 125, 178, 188, 200, 177, 71]","[-4.67581, -4.683035, -6.651451, -7.5724125, -8.117492, -9.178158, -9.602998, -10.419394, -5.6001587, -9.382211, -10.889037, -8.816297, -9.662644, -10.042103, -10.080715, -10.155869, -10.196682, -10.333212, -10.441412, -10.471452]","[4, 4, 4, 4, 3, 4, 4, 4, 4, 3, 4, 3, 4, 4, 3, 4, 4, 4, 4, 4]","[1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1]","[6, 4, 6, 6, 3, 6, 6, 6, 6, 3, 4, 3, 6, 4, 5, 6, 6, 4, 4, 6]",0.6,0.95,0.8333333333333334,4
original,25,"[83, 145, 180, 37, 79, 125, 91, 195, 200, 93, 99, 92, 82, 188, 193, 181, 71, 38, 198, 186, 177, 109, 178, 128, 63]","[0.47428548626544464, 0.4584535658529546, 0.4258232301241801, 0.4187569152039404, 0.3303866514216318, 0.3672055372250556, 0.36338143158714065, 0.3608612866881453, 0.29290457024241046, 0.41628202260172287, 0.3950766865081773, 0.38690782176277705, 0.37347463458510805, 0.3631861144398047, 0.359516586651658, 0.3582219316994143, 0.33384631412742133, 0.33043961772216923, 0.32887661888440356, 0.32626229252715344, 0.3212865390027885, 0.31701338029853926, 0.3063143094298598, 0.284797439443768, 0.2828913662539245]","[4, 4, 4, 4, 4, 3, 3, 4, 4, 4, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 3]","[1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1]","[6, 6, 4, 6, 6, 5, 3, 4, 4, 4, 3, 3, 6, 6, 4, 6, 6, 6, 6, 4, 4, 3, 6, 4, 5]",0.52,0.94,0.8,4
reranked,25,"[37, 93, 90, 145, 92, 181, 79, 38, 83, 91, 195, 99, 80, 180, 125, 178, 188, 200, 177, 71, 87, 193, 128, 45, 82]","[-4.67581, -4.683035, -6.651451, -7.5724125, -8.117492, -9.178158, -9.602998, -10.419394, -5.6001587, -9.382211, -10.889037, -8.816297, -9.662644, -10.042103, -10.080715, -10.155869, -10.196682, -10.333212, -10.441412, -10.471452, -10.557433, -10.592952, -10.655992, -10.682411, -10.738264]","[4, 4, 4, 4, 3, 4, 4, 4, 4, 3, 4, 3, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1]","[6, 4, 6, 6, 3, 6, 6, 6, 6, 3, 4, 3, 6, 4, 5, 6, 6, 4, 4, 6, 6, 4, 4, 6, 6]",0.6,0.96,0.84,4
original,10,"[82, 200, 45, 83, 37, 79, 180, 195, 104, 38]","[0.6234514837732527, 0.5888957425701611, 0.5292399673783762, 0.49756566268985525, 0.461708460062761, 0.4539449995014584, 0.4364895832610856, 0.35321258635836567, 0.5513716607090081, 0.46978692044081666]","[4, 4, 4, 4, 4, 4, 3, 4, 4, 4]","[1, 1, 1, 1, 1, 1, 0, 0, 1, 1]","[6, 6, 6, 6, 6, 6, 3, 4, 6, 6]",0.8,0.975,0.9166666666666666,5
reranked,10,"[200, 104, 82, 37, 45, 89, 93, 145, 105, 41]","[-2.5394058, -3.5226526, -3.7881067, -4.004176, -5.5297756, -8.383828, -8.659046, -4.033414, -5.8417587, -7.8571897]","[4, 4, 4, 4, 4, 4, 4, 4, 3, 4]","[1, 1, 1, 1, 1, 1, 1, 1, 0, 1]","[6, 6, 6, 6, 6, 6, 6, 6, 3, 6]",0.9,0.975,0.95,5
original,15,"[82, 200, 45, 83, 37, 79, 180, 195, 104, 38, 99, 41, 105, 77, 91]","[0.6234514837732527, 0.5888957425701611, 0.5292399673783762, 0.49756566268985525, 0.461708460062761, 0.4539449995014584, 0.4364895832610856, 0.35321258635836567, 0.5513716607090081, 0.46978692044081666, 0.466562778791176, 0.44445378630721166, 0.4303525892131379, 0.42981999897637, 0.42692734259555787]","[4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 2, 4, 3, 4, 4]","[1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0]","[6, 6, 6, 6, 6, 6, 3, 4, 6, 6, 2, 6, 3, 6, 4]",0.6666666666666666,0.9333333333333333,0.8444444444444444,5
reranked,15,"[200, 104, 82, 37, 45, 89, 93, 145, 105, 41, 83, 64, 92, 79, 42]","[-2.5394058, -3.5226526, -3.7881067, -4.004176, -5.5297756, -8.383828, -8.659046, -4.033414, -5.8417587, -7.8571897, -8.587673, -9.934711, -10.066477, -10.4318495, -4.8502407]","[4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 2, 4, 4]","[1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1]","[6, 6, 6, 6, 6, 6, 6, 6, 3, 6, 6, 6, 2, 6, 6]",0.8666666666666667,0.95,0.9222222222222223,5
original,20,"[82, 200, 45, 83, 37, 79, 180, 195, 104, 38, 99, 41, 105, 77, 91, 145, 76, 87, 89, 181]","[0.6234514837732527, 0.5888957425701611, 0.5292399673783762, 0.49756566268985525, 0.461708460062761, 0.4539449995014584, 0.4364895832610856, 0.35321258635836567, 0.5513716607090081, 0.46978692044081666, 0.466562778791176, 0.44445378630721166, 0.4303525892131379, 0.42981999897637, 0.42692734259555787, 0.4187327975535283, 0.4152242667594296, 0.40554352376203495, 0.40324561474274345, 0.397999916690013]","[4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 2, 4, 3, 4, 4, 4, 4, 4, 4, 4]","[1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0]","[6, 6, 6, 6, 6, 6, 3, 4, 6, 6, 2, 6, 3, 6, 4, 6, 6, 6, 6, 4]",0.7,0.95,0.8666666666666667,5
