method,top_n,question_order,match_scores,evaluation_scores,binary_scores,combined_scores,normalized_binary_score,normalized_score,normalized_combined_score,job_number
original,15,"[123, 133, 37, 140, 138, 71, 184, 99, 180, 112, 66, 185, 116, 142, 137]","[0.87241209525543, 0.7540553490090407, 0.7307948918704874, 0.7018432623702422, 0.6859721915151331, 0.673970271407408, 0.6707278239721546, 0.6701816350390162, 0.668616681267776, 0.8560287195942979, 0.6730878661442218, 0.6692328527888578, 0.6678577899881533, 0.6659030634427457, 0.6511149969089274]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 4, 4, 4, 4]","[1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0]","[6, 6, 6, 6, 4, 6, 4, 4, 4, 6, 2, 4, 4, 6, 4]",0.4666666666666667,0.9666666666666667,0.8,2
reranked,15,"[123, 138, 185, 192, 86, 137, 189, 145, 117, 116, 178, 140, 91, 56, 37]","[1.8721101, 0.2195545, -0.6282284, -2.1542416, -2.7419403, -2.842053, -3.2689602, -4.4038763, 0.92767906, -0.5218258, -1.6287417, -2.945344, -3.1996121, -3.669533, -3.7720232]","[4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 1, 4]","[1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1]","[6, 4, 4, 4, 6, 4, 6, 5, 6, 4, 6, 6, 4, 1, 6]",0.5333333333333333,0.9333333333333333,0.8,2
original,20,"[123, 133, 37, 140, 138, 71, 184, 99, 180, 112, 66, 185, 116, 142, 137, 129, 117, 113, 135, 134]","[0.87241209525543, 0.7540553490090407, 0.7307948918704874, 0.7018432623702422, 0.6859721915151331, 0.673970271407408, 0.6707278239721546, 0.6701816350390162, 0.668616681267776, 0.8560287195942979, 0.6730878661442218, 0.6692328527888578, 0.6678577899881533, 0.6659030634427457, 0.6511149969089274, 0.8367999293275761, 0.8181467109577225, 0.8076559643164045, 0.7861108362545616, 0.7751870358229279]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 4, 4, 4, 4, 3, 4, 4, 4, 4]","[1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1]","[6, 6, 6, 6, 4, 6, 4, 4, 4, 6, 2, 4, 4, 6, 4, 5, 6, 6, 4, 6]",0.55,0.9625,0.825,2
reranked,20,"[123, 138, 185, 192, 86, 137, 189, 145, 117, 116, 178, 140, 91, 56, 37, 113, 112, 129, 135, 149]","[1.8721101, 0.2195545, -0.6282284, -2.1542416, -2.7419403, -2.842053, -3.2689602, -4.4038763, 0.92767906, -0.5218258, -1.6287417, -2.945344, -3.1996121, -3.669533, -3.7720232, -4.5662203, 0.23859574, 0.22652544, -0.70342374, -0.8700302]","[4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 1, 4, 4, 4, 3, 4, 2]","[1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0]","[6, 4, 4, 4, 6, 4, 6, 5, 6, 4, 6, 6, 4, 1, 6, 6, 6, 5, 4, 2]",0.55,0.9125,0.7916666666666666,2
original,25,"[123, 133, 37, 140, 138, 71, 184, 99, 180, 112, 66, 185, 116, 142, 137, 129, 117, 113, 135, 134, 187, 86, 73, 178, 63]","[0.87241209525543, 0.7540553490090407, 0.7307948918704874, 0.7018432623702422, 0.6859721915151331, 0.673970271407408, 0.6707278239721546, 0.6701816350390162, 0.668616681267776, 0.8560287195942979, 0.6730878661442218, 0.6692328527888578, 0.6678577899881533, 0.6659030634427457, 0.6511149969089274, 0.8367999293275761, 0.8181467109577225, 0.8076559643164045, 0.7861108362545616, 0.7751870358229279, 0.7184931920787129, 0.6644280949597701, 0.6641356441762556, 0.6638523797683087, 0.6595938498086564]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 2, 4, 4]","[1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1]","[6, 6, 6, 6, 4, 6, 4, 4, 4, 6, 2, 4, 4, 6, 4, 5, 6, 6, 4, 6, 4, 6, 2, 6, 6]",0.56,0.95,0.82,2
reranked,25,"[123, 138, 185, 192, 86, 137, 189, 145, 117, 116, 178, 140, 91, 56, 37, 113, 112, 129, 135, 149, 134, 71, 63, 72, 73]","[1.8721101, 0.2195545, -0.6282284, -2.1542416, -2.7419403, -2.842053, -3.2689602, -4.4038763, 0.92767906, -0.5218258, -1.6287417, -2.945344, -3.1996121, -3.669533, -3.7720232, -4.5662203, 0.23859574, 0.22652544, -0.70342374, -0.8700302, -1.4774686, -2.5057774, -2.6995542, -2.7266212, -3.0756526]","[4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 1, 4, 4, 4, 3, 4, 2, 4, 4, 4, 4, 2]","[1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0]","[6, 4, 4, 4, 6, 4, 6, 5, 6, 4, 6, 6, 4, 1, 6, 6, 6, 5, 4, 2, 6, 6, 6, 6, 2]",0.6,0.91,0.8066666666666666,2
original,10,"[184, 99, 112, 138, 15, 152, 179, 181, 85, 44]","[0.8168487150444006, 0.7791180609816407, 0.764717081296043, 0.7580295274084219, 0.7521110484751956, 0.7363525246625131, 0.7223761939052109, 0.7901198263420757, 0.7652856067481577, 0.7618431862518835]","[4, 4, 4, 4, 3, 1, 4, 4, 4, 4]","[1, 0, 1, 0, 0, 0, 1, 1, 0, 1]","[6, 4, 6, 4, 3, 1, 6, 6, 4, 6]",0.5,0.9,0.7666666666666667,3
reranked,10,"[86, 149, 99, 37, 130, 12, 140, 126, 178, 85]","[1.4525808, 1.3533369, -0.84856224, -1.5029076, -1.9306692, -2.663669, -2.88486, -2.8909178, -3.2532554, 1.3650776]","[4, 3, 4, 4, 3, 3, 4, 3, 4, 4]","[0, 0, 0, 1, 0, 0, 0, 0, 1, 0]","[4, 3, 4, 6, 3, 3, 4, 3, 6, 4]",0.2,0.9,0.6666666666666666,3
original,15,"[184, 99, 112, 138, 15, 152, 179, 181, 85, 44, 131, 24, 149, 137, 123]","[0.8168487150444006, 0.7791180609816407, 0.764717081296043, 0.7580295274084219, 0.7521110484751956, 0.7363525246625131, 0.7223761939052109, 0.7901198263420757, 0.7652856067481577, 0.7618431862518835, 0.750758709989427, 0.7409648717394075, 0.7329766517442482, 0.7285164601112964, 0.718713521659854]","[4, 4, 4, 4, 3, 1, 4, 4, 4, 4, 4, 3, 3, 4, 4]","[1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0]","[6, 4, 6, 4, 3, 1, 6, 6, 4, 6, 4, 3, 3, 4, 4]",0.3333333333333333,0.9,0.7111111111111111,3
reranked,15,"[86, 149, 99, 37, 130, 12, 140, 126, 178, 85, 172, 184, 138, 180, 44]","[1.4525808, 1.3533369, -0.84856224, -1.5029076, -1.9306692, -2.663669, -2.88486, -2.8909178, -3.2532554, 1.3650776, 0.75552964, -0.9318013, -2.2191472, -2.6040993, -2.9859204]","[4, 3, 4, 4, 3, 3, 4, 3, 4, 4, 1, 4, 4, 4, 4]","[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1]","[4, 3, 4, 6, 3, 3, 4, 3, 6, 4, 1, 6, 4, 6, 6]",0.3333333333333333,0.8833333333333333,0.7,3
original,20,"[184, 99, 112, 138, 15, 152, 179, 181, 85, 44, 131, 24, 149, 137, 123, 180, 178, 38, 192, 200]","[0.8168487150444006, 0.7791180609816407, 0.764717081296043, 0.7580295274084219, 0.7521110484751956, 0.7363525246625131, 0.7223761939052109, 0.7901198263420757, 0.7652856067481577, 0.7618431862518835, 0.750758709989427, 0.7409648717394075, 0.7329766517442482, 0.7285164601112964, 0.718713521659854, 0.7018126104021485, 0.6985747718671355, 0.7648670345605691, 0.7551278980820335, 0.7461113058802836]","[4, 4, 4, 4, 3, 1, 4, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 4, 3, 4]","[1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0]","[6, 4, 6, 4, 3, 1, 6, 6, 4, 6, 4, 3, 3, 4, 4, 6, 6, 6, 3, 4]",0.4,0.9125,0.7416666666666667,3
reranked,20,"[86, 149, 99, 37, 130, 12, 140, 126, 178, 85, 172, 184, 138, 180, 44, 7, 200, 170, 151, 76]","[1.4525808, 1.3533369, -0.84856224, -1.5029076, -1.9306692, -2.663669, -2.88486, -2.8909178, -3.2532554, 1.3650776, 0.75552964, -0.9318013, -2.2191472, -2.6040993, -2.9859204, -3.0815191, 0.5084235, 0.28605676, 0.059810985, -0.24402127]","[4, 3, 4, 4, 3, 3, 4, 3, 4, 4, 1, 4, 4, 4, 4, 3, 4, 1, 1, 4]","[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1]","[4, 3, 4, 6, 3, 3, 4, 3, 6, 4, 1, 6, 4, 6, 6, 5, 4, 1, 1, 6]",0.35,0.825,0.6666666666666666,3
original,25,"[184, 99, 112, 138, 15, 152, 179, 181, 85, 44, 131, 24, 149, 137, 123, 180, 178, 38, 192, 200, 12, 71, 54, 72, 37]","[0.8168487150444006, 0.7791180609816407, 0.764717081296043, 0.7580295274084219, 0.7521110484751956, 0.7363525246625131, 0.7223761939052109, 0.7901198263420757, 0.7652856067481577, 0.7618431862518835, 0.750758709989427, 0.7409648717394075, 0.7329766517442482, 0.7285164601112964, 0.718713521659854, 0.7018126104021485, 0.6985747718671355, 0.7648670345605691, 0.7551278980820335, 0.7461113058802836, 0.7360884717343248, 0.7355364598112966, 0.7355256119080986, 0.7346662528799011, 0.7333392349442136]","[4, 4, 4, 4, 3, 1, 4, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 4, 3, 4, 3, 4, 4, 4, 4]","[1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1]","[6, 4, 6, 4, 3, 1, 6, 6, 4, 6, 4, 3, 3, 4, 4, 6, 6, 6, 3, 4, 3, 6, 6, 6, 6]",0.48,0.92,0.7733333333333333,3
reranked,25,"[86, 149, 99, 37, 130, 12, 140, 126, 178, 85, 172, 184, 138, 180, 44, 7, 200, 170, 151, 76, 79, 83, 93, 152, 159]","[1.4525808, 1.3533369, -0.84856224, -1.5029076, -1.9306692, -2.663669, -2.88486, -2.8909178, -3.2532554, 1.3650776, 0.75552964, -0.9318013, -2.2191472, -2.6040993, -2.9859204, -3.0815191, 0.5084235, 0.28605676, 0.059810985, -0.24402127, -0.3415618, -0.5776099, -0.72755027, -0.9687152, -0.98521495]","[4, 3, 4, 4, 3, 3, 4, 3, 4, 4, 1, 4, 4, 4, 4, 3, 4, 1, 1, 4, 4, 4, 4, 1, 1]","[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0]","[4, 3, 4, 6, 3, 3, 4, 3, 6, 4, 1, 6, 4, 6, 6, 5, 4, 1, 1, 6, 6, 4, 4, 1, 1]",0.32,0.8,0.64,3
original,10,"[99, 54, 152, 130, 37, 184, 170, 178, 200, 44]","[0.7805220098150529, 0.7480662948177168, 0.7371919864491077, 0.703946830440699, 0.686567468010252, 0.6774897401735482, 0.6724370599365759, 0.6395584942956978, 0.7306041430341192, 0.7284063114836631]","[3, 2, 1, 3, 4, 4, 1, 4, 4, 4]","[0, 1, 0, 1, 1, 0, 0, 1, 0, 1]","[3, 4, 1, 5, 6, 4, 1, 6, 4, 6]",0.5,0.75,0.6666666666666666,4
reranked,10,"[172, 93, 85, 170, 130, 178, 54, 113, 185, 140]","[2.2579465, 2.1677005, -0.25666365, -0.29630768, -0.34945, -0.6436385, -0.7968888, -1.1123016, -1.6899356, -2.1980977]","[1, 4, 4, 1, 3, 4, 2, 4, 4, 4]","[0, 0, 1, 0, 1, 1, 1, 1, 1, 0]","[1, 4, 6, 1, 5, 6, 4, 6, 6, 4]",0.6,0.775,0.7166666666666667,4
original,15,"[99, 54, 152, 130, 37, 184, 170, 178, 200, 44, 154, 140, 113, 123, 112]","[0.7805220098150529, 0.7480662948177168, 0.7371919864491077, 0.703946830440699, 0.686567468010252, 0.6774897401735482, 0.6724370599365759, 0.6395584942956978, 0.7306041430341192, 0.7284063114836631, 0.7154574678162666, 0.7114577787611915, 0.6842104594133435, 0.6777495815418858, 0.6759618234083382]","[3, 2, 1, 3, 4, 4, 1, 4, 4, 4, 1, 4, 4, 4, 4]","[0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1]","[3, 4, 1, 5, 6, 4, 1, 6, 4, 6, 1, 4, 6, 4, 6]",0.4666666666666667,0.7833333333333333,0.6777777777777778,4
reranked,15,"[172, 93, 85, 170, 130, 178, 54, 113, 185, 140, 99, 154, 112, 123, 44]","[2.2579465, 2.1677005, -0.25666365, -0.29630768, -0.34945, -0.6436385, -0.7968888, -1.1123016, -1.6899356, -2.1980977, 1.7212403, -0.3579533, -0.858974, -1.1431806, -1.442847]","[1, 4, 4, 1, 3, 4, 2, 4, 4, 4, 3, 1, 4, 4, 4]","[0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1]","[1, 4, 6, 1, 5, 6, 4, 6, 6, 4, 3, 1, 6, 4, 6]",0.5333333333333333,0.7833333333333333,0.7,4
original,20,"[99, 54, 152, 130, 37, 184, 170, 178, 200, 44, 154, 140, 113, 123, 112, 180, 127, 79, 68, 83]","[0.7805220098150529, 0.7480662948177168, 0.7371919864491077, 0.703946830440699, 0.686567468010252, 0.6774897401735482, 0.6724370599365759, 0.6395584942956978, 0.7306041430341192, 0.7284063114836631, 0.7154574678162666, 0.7114577787611915, 0.6842104594133435, 0.6777495815418858, 0.6759618234083382, 0.6700733918431024, 0.6614851871480827, 0.7210890351363011, 0.7206322415167223, 0.717183595653275]","[3, 2, 1, 3, 4, 4, 1, 4, 4, 4, 1, 4, 4, 4, 4, 4, 4, 4, 3, 4]","[0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1]","[3, 4, 1, 5, 6, 4, 1, 6, 4, 6, 1, 4, 6, 4, 6, 4, 6, 6, 3, 6]",0.5,0.825,0.7166666666666667,4
reranked,20,"[172, 93, 85, 170, 130, 178, 54, 113, 185, 140, 99, 154, 112, 123, 44, 187, 149, 151, 174, 68]","[2.2579465, 2.1677005, -0.25666365, -0.29630768, -0.34945, -0.6436385, -0.7968888, -1.1123016, -1.6899356, -2.1980977, 1.7212403, -0.3579533, -0.858974, -1.1431806, -1.442847, -2.5863035, 1.4456284, 1.1377531, 1.016579, 0.88977754]","[1, 4, 4, 1, 3, 4, 2, 4, 4, 4, 3, 1, 4, 4, 4, 4, 3, 1, 1, 3]","[0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0]","[1, 4, 6, 1, 5, 6, 4, 6, 6, 4, 3, 1, 6, 4, 6, 4, 3, 1, 1, 3]",0.4,0.7375,0.625,4
original,25,"[99, 54, 152, 130, 37, 184, 170, 178, 200, 44, 154, 140, 113, 123, 112, 180, 127, 79, 68, 83, 93, 138, 73, 38, 149]","[0.7805220098150529, 0.7480662948177168, 0.7371919864491077, 0.703946830440699, 0.686567468010252, 0.6774897401735482, 0.6724370599365759, 0.6395584942956978, 0.7306041430341192, 0.7284063114836631, 0.7154574678162666, 0.7114577787611915, 0.6842104594133435, 0.6777495815418858, 0.6759618234083382, 0.6700733918431024, 0.6614851871480827, 0.7210890351363011, 0.7206322415167223, 0.717183595653275, 0.7120751646808268, 0.710093045422107, 0.7098153761569317, 0.7080621073918117, 0.7070959102968489]","[3, 2, 1, 3, 4, 4, 1, 4, 4, 4, 1, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 3, 4, 3]","[0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0]","[3, 4, 1, 5, 6, 4, 1, 6, 4, 6, 1, 4, 6, 4, 6, 4, 6, 6, 3, 6, 4, 6, 3, 6, 3]",0.48,0.84,0.72,4
reranked,25,"[172, 93, 85, 170, 130, 178, 54, 113, 185, 140, 99, 154, 112, 123, 44, 187, 149, 151, 174, 68, 150, 79, 152, 90, 200]","[2.2579465, 2.1677005, -0.25666365, -0.29630768, -0.34945, -0.6436385, -0.7968888, -1.1123016, -1.6899356, -2.1980977, 1.7212403, -0.3579533, -0.858974, -1.1431806, -1.442847, -2.5863035, 1.4456284, 1.1377531, 1.016579, 0.88977754, 0.81109476, 0.75646865, 0.69930446, 0.650177, 0.45567313]","[1, 4, 4, 1, 3, 4, 2, 4, 4, 4, 3, 1, 4, 4, 4, 4, 3, 1, 1, 3, 3, 4, 1, 4, 4]","[0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]","[1, 4, 6, 1, 5, 6, 4, 6, 6, 4, 3, 1, 6, 4, 6, 4, 3, 1, 1, 3, 3, 6, 1, 6, 4]",0.4,0.75,0.6333333333333333,4
original,10,"[123, 82, 37, 83, 152, 99, 131, 180, 184, 200]","[0.8335424235192971, 0.7716159387559904, 0.7505573275394883, 0.7273044769980788, 0.7099845905196747, 0.6925532908720837, 0.6924962905156442, 0.6918364773028018, 0.673439184673817, 0.6630970653177386]","[4, 4, 4, 4, 1, 2, 3, 3, 4, 4]","[1, 1, 1, 1, 0, 0, 0, 0, 0, 1]","[6, 6, 6, 6, 1, 2, 3, 3, 4, 6]",0.5,0.825,0.7166666666666667,5
reranked,10,"[154, 178, 121, 172, 87, 200, 85, 190, 140, 104]","[0.58611035, 0.3641048, 0.2990781, -0.0027418658, -0.44778392, -0.94639564, -1.2960441, -2.6161907, -2.9918187, -3.0436592]","[1, 4, 2, 1, 4, 4, 4, 3, 4, 4]","[0, 1, 1, 0, 1, 1, 1, 1, 1, 1]","[1, 6, 4, 1, 6, 6, 6, 5, 6, 6]",0.8,0.775,0.7833333333333333,5
original,15,"[123, 82, 37, 83, 152, 99, 131, 180, 184, 200, 112, 38, 108, 85, 140]","[0.8335424235192971, 0.7716159387559904, 0.7505573275394883, 0.7273044769980788, 0.7099845905196747, 0.6925532908720837, 0.6924962905156442, 0.6918364773028018, 0.673439184673817, 0.6630970653177386, 0.7988871141986106, 0.7096279960046432, 0.6948233141884124, 0.6705625533817889, 0.6689498498632697]","[4, 4, 4, 4, 1, 2, 3, 3, 4, 4, 4, 4, 4, 4, 4]","[1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1]","[6, 6, 6, 6, 1, 2, 3, 3, 4, 6, 6, 6, 6, 6, 6]",0.6666666666666666,0.8833333333333333,0.8111111111111111,5
reranked,15,"[154, 178, 121, 172, 87, 200, 85, 190, 140, 104, 123, 171, 99, 37, 76]","[0.58611035, 0.3641048, 0.2990781, -0.0027418658, -0.44778392, -0.94639564, -1.2960441, -2.6161907, -2.9918187, -3.0436592, -0.23678198, -0.73735493, -1.0561131, -1.2153175, -1.726948]","[1, 4, 2, 1, 4, 4, 4, 3, 4, 4, 4, 1, 2, 4, 4]","[0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1]","[1, 6, 4, 1, 6, 6, 6, 5, 6, 6, 6, 1, 2, 6, 6]",0.7333333333333333,0.7666666666666667,0.7555555555555555,5
