method,top_n,question_order,match_scores,evaluation_scores,binary_scores,combined_scores,normalized_binary_score,normalized_score,normalized_combined_score,job_number
original,20,"[112, 184, 44, 37, 130, 193, 179, 140, 123, 192, 84, 126, 138, 129, 117, 113, 116, 135, 133, 63]","[0.8614982753224858, 0.8114848898868495, 0.75040148285847, 0.731960556191126, 0.726114811876639, 0.7189102213877978, 0.7115518529298089, 0.6804133277621849, 0.8490542481163238, 0.7659529901484499, 0.7435123000615915, 0.7056092556139775, 0.838357888943513, 0.8182767521016223, 0.8051693151902164, 0.8023387311615737, 0.8003811596485113, 0.7916212380064157, 0.7873148405631761, 0.7421232693348911]","[4, 4, 4, 4, 3, 4, 4, 4, 4, 3, 3, 3, 4, 3, 4, 3, 4, 4, 4, 4]","[1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1]","[6, 6, 6, 6, 3, 6, 6, 4, 4, 3, 3, 3, 4, 3, 4, 5, 4, 4, 6, 6]",0.45,0.925,0.7666666666666667,3
reranked,20,"[140, 123, 99, 179, 193, 37, 116, 184, 138, 126, 112, 79, 185, 63, 192, 180, 197, 178, 117, 113]","[1.3188226, 1.1404414, -0.009099118, -0.0955325, -0.71602714, -1.8164803, -2.053846, 1.058677, 0.33872506, 0.09484292, -0.5924891, -0.8398799, -1.072598, -2.1511736, 0.83049023, 0.75799507, 0.2929444, 0.25681585, -0.27931142, -0.39505634]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 3, 4, 4, 4, 4, 3]","[0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1]","[4, 4, 4, 6, 6, 6, 4, 6, 4, 3, 6, 6, 6, 6, 3, 6, 4, 6, 4, 5]",0.55,0.9625,0.825,3
original,25,"[112, 184, 44, 37, 130, 193, 179, 140, 123, 192, 84, 126, 138, 129, 117, 113, 116, 135, 133, 63, 181, 180, 54, 73, 99]","[0.8614982753224858, 0.8114848898868495, 0.75040148285847, 0.731960556191126, 0.726114811876639, 0.7189102213877978, 0.7115518529298089, 0.6804133277621849, 0.8490542481163238, 0.7659529901484499, 0.7435123000615915, 0.7056092556139775, 0.838357888943513, 0.8182767521016223, 0.8051693151902164, 0.8023387311615737, 0.8003811596485113, 0.7916212380064157, 0.7873148405631761, 0.7421232693348911, 0.7381261030274011, 0.7379971995909218, 0.7305670884278659, 0.7298374581260197, 0.7292796506037633]","[4, 4, 4, 4, 3, 4, 4, 4, 4, 3, 3, 3, 4, 3, 4, 3, 4, 4, 4, 4, 4, 4, 4, 3, 4]","[1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0]","[6, 6, 6, 6, 3, 6, 6, 4, 4, 3, 3, 3, 4, 3, 4, 5, 4, 4, 6, 6, 6, 6, 6, 3, 4]",0.48,0.93,0.78,3
reranked,25,"[140, 123, 99, 179, 193, 37, 116, 184, 138, 126, 112, 79, 185, 63, 192, 180, 197, 178, 117, 113, 181, 129, 130, 187, 135]","[1.3188226, 1.1404414, -0.009099118, -0.0955325, -0.71602714, -1.8164803, -2.053846, 1.058677, 0.33872506, 0.09484292, -0.5924891, -0.8398799, -1.072598, -2.1511736, 0.83049023, 0.75799507, 0.2929444, 0.25681585, -0.27931142, -0.39505634, -0.43288964, -0.47995207, -0.88694346, -0.96225417, -1.0120645]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 3, 4, 4, 4, 4, 3, 4, 3, 3, 4, 4]","[0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0]","[4, 4, 4, 6, 6, 6, 4, 6, 4, 3, 6, 6, 6, 6, 3, 6, 4, 6, 4, 5, 6, 3, 3, 4, 4]",0.48,0.95,0.7933333333333333,3
original,10,"[131, 83, 184, 140, 37, 123, 127, 138, 200, 180]","[0.7915011866058803, 0.7664553355984395, 0.7254345806457989, 0.7231892443033583, 0.6913831475651424, 0.6748728506350354, 0.6651187285078207, 0.7800464296451124, 0.7560202049268536, 0.7218739237617351]","[3, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[1, 1, 0, 0, 1, 0, 1, 1, 0, 0]","[5, 6, 4, 4, 6, 4, 6, 6, 4, 4]",0.5,0.975,0.8166666666666667,4
reranked,10,"[140, 76, 99, 178, 185, 112, 127, 125, 93, 86]","[1.5861429, 1.3776102, 1.2576882, 1.1530272, -0.97013706, -1.7741362, -3.3821192, 1.3690504, 1.2383835, 0.34378263]","[4, 4, 3, 4, 4, 4, 4, 3, 4, 3]","[0, 1, 0, 1, 1, 1, 1, 1, 0, 0]","[4, 6, 3, 6, 6, 6, 6, 5, 4, 3]",0.6,0.925,0.8166666666666667,4
original,15,"[131, 83, 184, 140, 37, 123, 127, 138, 200, 180, 112, 130, 178, 125, 126]","[0.7915011866058803, 0.7664553355984395, 0.7254345806457989, 0.7231892443033583, 0.6913831475651424, 0.6748728506350354, 0.6651187285078207, 0.7800464296451124, 0.7560202049268536, 0.7218739237617351, 0.6711660364470718, 0.6428044671600915, 0.5990732557360632, 0.7775729546484851, 0.7686759171020897]","[3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 3, 3]","[1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1]","[5, 6, 4, 4, 6, 4, 6, 6, 4, 4, 6, 5, 6, 5, 5]",0.6666666666666666,0.9333333333333333,0.8444444444444444,4
reranked,15,"[140, 76, 99, 178, 185, 112, 127, 125, 93, 86, 180, 126, 192, 129, 200]","[1.5861429, 1.3776102, 1.2576882, 1.1530272, -0.97013706, -1.7741362, -3.3821192, 1.3690504, 1.2383835, 0.34378263, -1.3159037, -1.8727568, -3.3849866, -3.7456858, 1.1068742]","[4, 4, 3, 4, 4, 4, 4, 3, 4, 3, 4, 3, 2, 3, 4]","[0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0]","[4, 6, 3, 6, 6, 6, 6, 5, 4, 3, 4, 5, 2, 5, 4]",0.5333333333333333,0.8833333333333333,0.7666666666666667,4
original,20,"[131, 83, 184, 140, 37, 123, 127, 138, 200, 180, 112, 130, 178, 125, 126, 135, 99, 79, 85, 196]","[0.7915011866058803, 0.7664553355984395, 0.7254345806457989, 0.7231892443033583, 0.6913831475651424, 0.6748728506350354, 0.6651187285078207, 0.7800464296451124, 0.7560202049268536, 0.7218739237617351, 0.6711660364470718, 0.6428044671600915, 0.5990732557360632, 0.7775729546484851, 0.7686759171020897, 0.7648084397719737, 0.7522052594998017, 0.7482398302770943, 0.7098148843956458, 0.7069300483589727]","[3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 3, 3, 4, 3, 4, 4, 4]","[1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0]","[5, 6, 4, 4, 6, 4, 6, 6, 4, 4, 6, 5, 6, 5, 5, 4, 3, 6, 6, 4]",0.6,0.9375,0.825,4
reranked,20,"[140, 76, 99, 178, 185, 112, 127, 125, 93, 86, 180, 126, 192, 129, 200, 79, 85, 83, 90, 87]","[1.5861429, 1.3776102, 1.2576882, 1.1530272, -0.97013706, -1.7741362, -3.3821192, 1.3690504, 1.2383835, 0.34378263, -1.3159037, -1.8727568, -3.3849866, -3.7456858, 1.1068742, 0.7082726, 0.6855785, 0.28024164, 0.10778094, 0.031284697]","[4, 4, 3, 4, 4, 4, 4, 3, 4, 3, 4, 3, 2, 3, 4, 4, 4, 4, 4, 4]","[0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1]","[4, 6, 3, 6, 6, 6, 6, 5, 4, 3, 4, 5, 2, 5, 4, 6, 6, 6, 6, 6]",0.65,0.9125,0.825,4
original,25,"[131, 83, 184, 140, 37, 123, 127, 138, 200, 180, 112, 130, 178, 125, 126, 135, 99, 79, 85, 196, 93, 90, 134, 185, 133]","[0.7915011866058803, 0.7664553355984395, 0.7254345806457989, 0.7231892443033583, 0.6913831475651424, 0.6748728506350354, 0.6651187285078207, 0.7800464296451124, 0.7560202049268536, 0.7218739237617351, 0.6711660364470718, 0.6428044671600915, 0.5990732557360632, 0.7775729546484851, 0.7686759171020897, 0.7648084397719737, 0.7522052594998017, 0.7482398302770943, 0.7098148843956458, 0.7069300483589727, 0.7029512641022767, 0.6991621134886488, 0.6895953609045009, 0.689148088867571, 0.6826476774899528]","[3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 3, 3, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4]","[1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0]","[5, 6, 4, 4, 6, 4, 6, 6, 4, 4, 6, 5, 6, 5, 5, 4, 3, 6, 6, 4, 4, 6, 4, 6, 4]",0.56,0.95,0.82,4
reranked,25,"[140, 76, 99, 178, 185, 112, 127, 125, 93, 86, 180, 126, 192, 129, 200, 79, 85, 83, 90, 87, 138, 131, 130, 135, 196]","[1.5861429, 1.3776102, 1.2576882, 1.1530272, -0.97013706, -1.7741362, -3.3821192, 1.3690504, 1.2383835, 0.34378263, -1.3159037, -1.8727568, -3.3849866, -3.7456858, 1.1068742, 0.7082726, 0.6855785, 0.28024164, 0.10778094, 0.031284697, 0.025215514, -0.24089944, -0.3520972, -0.655452, -0.66898257]","[4, 4, 3, 4, 4, 4, 4, 3, 4, 3, 4, 3, 2, 3, 4, 4, 4, 4, 4, 4, 4, 3, 3, 4, 4]","[0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0]","[4, 6, 3, 6, 6, 6, 6, 5, 4, 3, 4, 5, 2, 5, 4, 6, 6, 6, 6, 6, 6, 5, 5, 4, 4]",0.64,0.91,0.82,4
original,10,"[112, 44, 37, 82, 99, 85, 78, 145, 140, 42]","[0.8369225091898986, 0.7652854504549194, 0.7632218302537779, 0.756401119911065, 0.7476622819453989, 0.7209027639320176, 0.6940179593101319, 0.6628191920434983, 0.8282611878002886, 0.7499770395577348]","[4, 4, 4, 4, 2, 4, 4, 4, 4, 4]","[1, 1, 1, 1, 0, 1, 1, 1, 1, 1]","[6, 6, 6, 6, 2, 6, 6, 6, 6, 6]",0.9,0.95,0.9333333333333333,5
reranked,10,"[104, 85, 107, 140, 87, 82, 37, 102, 154, 138]","[1.2680658, 0.7778195, 0.4148636, 0.3644897, -0.20823117, -1.0094981, -1.0880096, -1.5620074, 0.7561122, -0.06513642]","[4, 4, 3, 4, 4, 4, 4, 3, 1, 3]","[1, 1, 1, 1, 1, 1, 1, 0, 0, 0]","[6, 6, 5, 6, 6, 6, 6, 3, 1, 3]",0.7,0.85,0.8,5
original,15,"[112, 44, 37, 82, 99, 85, 78, 145, 140, 42, 83, 184, 180, 138, 123]","[0.8369225091898986, 0.7652854504549194, 0.7632218302537779, 0.756401119911065, 0.7476622819453989, 0.7209027639320176, 0.6940179593101319, 0.6628191920434983, 0.8282611878002886, 0.7499770395577348, 0.7230139283161059, 0.6930564245493434, 0.6331965666362797, 0.8261599060948384, 0.8163948880488363]","[4, 4, 4, 4, 2, 4, 4, 4, 4, 4, 4, 4, 3, 3, 4]","[1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1]","[6, 6, 6, 6, 2, 6, 6, 6, 6, 6, 6, 4, 3, 3, 6]",0.7333333333333333,0.9333333333333333,0.8666666666666667,5
reranked,15,"[104, 85, 107, 140, 87, 82, 37, 102, 154, 138, 76, 105, 44, 78, 93]","[1.2680658, 0.7778195, 0.4148636, 0.3644897, -0.20823117, -1.0094981, -1.0880096, -1.5620074, 0.7561122, -0.06513642, -0.9573035, -1.0902228, -1.1916299, -2.2971556, 0.45975605]","[4, 4, 3, 4, 4, 4, 4, 3, 1, 3, 4, 3, 4, 4, 4]","[1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1]","[6, 6, 5, 6, 6, 6, 6, 3, 1, 3, 6, 3, 6, 6, 6]",0.7333333333333333,0.8833333333333333,0.8333333333333334,5
